Dataset,NB,Bert_1,Bert_2,Albert_1,Albert_2,XLNet_1,XLNet_2
SMS_2,0.901,0.991,0.9433,0.991,0.9821,0.9463,0.9881
sarcasm,0.8985,0.9489,0.9432,0.9475,0.9386,0.9146,0.9346
