Dataset,NB,Bert_1,Bert_2,Albert_1,Albert_2,XLNet_1,XLNet_2
SMS_2,0.0607,78.3527,61.2468,62.7152,37.283,64.396,54.0842
sarcasm,0.1025,499.5722,499.6394,511.5787,307.1446,438.8144,438.6768
