,num_warmup_steps,init_lr,adam_beta1,adam_beta2,num_epochs,precision,recall,f_score,time
0,0,2e-05,0.8,0.9,3,0.9736842105263157,0.986842105263158,0.9798198198198198,204.78992629051208
1,0,2e-05,0.8,0.9,5,0.9736842105263157,0.986842105263158,0.9798198198198198,267.83999276161194
2,0,2e-05,0.8,0.999,3,0.9736842105263157,0.986842105263158,0.9798198198198198,187.5978283882141
3,0,2e-05,0.8,0.999,5,0.9615384615384616,0.9802631578947368,0.9699328859060403,232.3847336769104
4,0,2e-05,0.9,0.9,3,0.9736842105263157,0.986842105263158,0.9798198198198198,150.2538845539093
5,0,2e-05,0.9,0.9,5,0.9615384615384616,0.9802631578947368,0.9699328859060403,232.42168283462524
6,0,2e-05,0.9,0.999,3,0.95,0.9736842105263157,0.9601706970128023,151.47217226028442
7,0,2e-05,0.9,0.999,5,0.9736842105263157,0.986842105263158,0.9798198198198198,264.5000014305115
8,0,1e-05,0.8,0.9,3,0.9736842105263157,0.986842105263158,0.9798198198198198,190.48900055885315
9,0,1e-05,0.8,0.9,5,0.95,0.9736842105263157,0.9601706970128023,269.09275126457214
10,0,1e-05,0.8,0.999,3,0.9736842105263157,0.986842105263158,0.9798198198198198,191.0535125732422
11,0,1e-05,0.8,0.999,5,0.95,0.9736842105263157,0.9601706970128023,230.7878315448761
12,0,1e-05,0.9,0.9,3,0.95,0.9736842105263157,0.9601706970128023,187.95840311050415
13,0,1e-05,0.9,0.9,5,0.9615384615384616,0.9802631578947368,0.9699328859060403,231.33454370498657
14,0,1e-05,0.9,0.999,3,0.9390243902439024,0.9671052631578947,0.9505256648113791,188.02487874031067
15,0,1e-05,0.9,0.999,5,0.9390243902439024,0.9671052631578947,0.9505256648113791,268.8050353527069
16,1,2e-05,0.8,0.9,3,0.9736842105263157,0.986842105263158,0.9798198198198198,148.1126823425293
17,1,2e-05,0.8,0.9,5,0.9736842105263157,0.986842105263158,0.9798198198198198,225.76251196861267
18,1,2e-05,0.8,0.999,3,0.9736842105263157,0.986842105263158,0.9798198198198198,147.59759283065796
19,1,2e-05,0.8,0.999,5,0.9864864864864865,0.993421052631579,0.9898394266533612,232.03016662597656
20,1,2e-05,0.9,0.9,3,0.9864864864864865,0.993421052631579,0.9898394266533612,189.85619068145752
21,1,2e-05,0.9,0.9,5,0.9615384615384616,0.9802631578947368,0.9699328859060403,229.2436602115631
22,1,2e-05,0.9,0.999,3,0.9615384615384616,0.9802631578947368,0.9699328859060403,188.8069362640381
23,1,2e-05,0.9,0.999,5,0.9615384615384616,0.9802631578947368,0.9699328859060403,230.12050080299377
24,1,1e-05,0.8,0.9,3,0.9615384615384616,0.9802631578947368,0.9699328859060403,151.55568075180054
25,1,1e-05,0.8,0.9,5,0.9390243902439024,0.9671052631578947,0.9505256648113791,233.24945998191833
26,1,1e-05,0.8,0.999,3,0.9390243902439024,0.9671052631578947,0.9505256648113791,151.31769442558289
27,1,1e-05,0.8,0.999,5,0.9615384615384616,0.9802631578947368,0.9699328859060403,265.74242067337036
28,1,1e-05,0.9,0.9,3,0.95,0.9736842105263157,0.9601706970128023,146.589510679245
29,1,1e-05,0.9,0.9,5,0.95,0.9736842105263157,0.9601706970128023,266.88723826408386
30,1,1e-05,0.9,0.999,3,0.95,0.9736842105263157,0.9601706970128023,190.16790223121643
31,1,1e-05,0.9,0.999,5,0.9615384615384616,0.9802631578947368,0.9699328859060403,264.58347249031067
