,num_warmup_steps,init_lr,adam_beta1,adam_beta2,num_epochs,precision,recall,f_score,time
0,0,2e-05,0.8,0.9,3,0.9334542451856439,0.9557802034234681,0.9434741571336882,122.31776714324951
1,0,2e-05,0.8,0.9,5,0.9311478322672353,0.9514698585958818,0.9403626676353949,174.23825573921204
2,0,2e-05,0.8,0.999,3,0.945726856316297,0.9586641032001985,0.9518411000763942,125.164470911026
3,0,2e-05,0.8,0.999,5,0.9419944199441994,0.9568655420491193,0.9489524506329501,192.21428442001343
4,0,2e-05,0.9,0.9,3,0.951275783040489,0.9579508806747705,0.9545227194028703,107.3380925655365
5,0,2e-05,0.9,0.9,5,0.9347063197026022,0.953268419746961,0.9432134539965258,171.4466369152069
6,0,2e-05,0.9,0.999,3,0.9405650557620817,0.9593773257256264,0.9491909851547862,92.2954363822937
7,0,2e-05,0.9,0.999,5,0.955232129697863,0.9597494418258496,0.9574500910240982,171.57256078720093
8,0,1e-05,0.8,0.9,3,0.9229888475836432,0.9410506077896303,0.9312583916800048,109.44392037391663
9,0,1e-05,0.8,0.9,5,0.9347063197026022,0.953268419746961,0.9432134539965258,171.57193756103516
10,0,1e-05,0.8,0.999,3,0.9413929440389295,0.9500434135450261,0.9455600589535741,107.39818167686462
11,0,1e-05,0.8,0.999,5,0.9419944199441994,0.9568655420491193,0.9489524506329501,174.14318013191223
12,0,1e-05,0.9,0.9,3,0.9316289770835225,0.9421359464152815,0.9366399411886328,109.46449828147888
13,0,1e-05,0.9,0.9,5,0.9435564435564435,0.9543537583726123,0.9487085238193694,189.18207430839539
14,0,1e-05,0.9,0.999,3,0.9347063197026022,0.953268419746961,0.9432134539965258,107.29931426048279
15,0,1e-05,0.9,0.999,5,0.9334542451856439,0.9557802034234681,0.9434741571336882,174.00949668884277
16,1,2e-05,0.8,0.9,3,0.949520176792904,0.9604626643512776,0.9547428151347377,124.76802349090576
17,1,2e-05,0.8,0.9,5,0.9360843608436085,0.950756636070454,0.9429468565897676,156.37260937690735
18,1,2e-05,0.8,0.999,3,0.9531765867505939,0.9554390969982635,0.9542976452847698,107.80985522270203
19,1,2e-05,0.8,0.999,5,0.945726856316297,0.9586641032001985,0.9518411000763942,171.43395733833313
20,1,2e-05,0.9,0.9,3,0.9419944199441994,0.9568655420491193,0.9489524506329501,109.58570408821106
21,1,2e-05,0.9,0.9,5,0.9473844282238443,0.9561523195236914,0.9516089412920659,174.25373697280884
22,1,2e-05,0.9,0.999,3,0.944205495818399,0.9611758868767055,0.9520681265206813,108.85810565948486
23,1,2e-05,0.9,0.999,5,0.949520176792904,0.9604626643512776,0.9547428151347377,155.71587991714478
24,1,1e-05,0.8,0.9,3,0.9288623530500787,0.9310034730836021,0.9299230561033135,91.5721321105957
25,1,1e-05,0.8,0.9,5,0.9311478322672353,0.9514698585958818,0.9403626676353949,156.00412487983704
26,1,1e-05,0.8,0.999,3,0.9316289770835225,0.9421359464152815,0.9366399411886328,107.08953523635864
27,1,1e-05,0.8,0.999,5,0.9360843608436085,0.950756636070454,0.9429468565897676,173.6854248046875
28,1,1e-05,0.9,0.9,3,0.9347063197026022,0.953268419746961,0.9432134539965258,125.01865673065186
29,1,1e-05,0.9,0.9,5,0.9299812030075187,0.953981642272389,0.9406340405014464,189.05830311775208
30,1,1e-05,0.9,0.999,3,0.9171301115241636,0.934941701810965,0.9252808605217444,109.34080958366394
31,1,1e-05,0.9,0.999,5,0.9392639122356896,0.9618891094021335,0.9494242458564579,170.92778515815735
