,num_warmup_steps,init_lr,adam_beta1,adam_beta2,power,num_epochs,precision,recall,f_score,time
0,0,2e-05,0.8,0.9,1.0,3,0.7827203510130338,0.8363424220093343,0.7665301774359997,52.18972301483154
1,0,2e-05,0.8,0.9,1.0,5,0.9434837092731829,0.934659788749693,0.9389109402133466,46.43749761581421
2,0,2e-05,0.8,0.9,1.5,3,0.9476394194041253,0.9497973470891672,0.9487085238193695,48.16142964363098
3,0,2e-05,0.8,0.9,1.5,5,0.9637067059690494,0.9637067059690494,0.9637067059690494,46.301289081573486
4,0,2e-05,0.8,0.999,1.0,3,0.9414227238898536,0.9370854826823876,0.9392144157487119,46.693302631378174
5,0,2e-05,0.8,0.999,1.0,5,0.9274164889836531,0.9431650700073693,0.9346974445515912,46.913058280944824
6,0,2e-05,0.8,0.999,1.5,3,0.962547353006717,0.9461434536968805,0.953832092554546,46.61466646194458
7,0,2e-05,0.8,0.999,1.5,5,0.9658583478045151,0.9612810120363547,0.963528649449227,47.034544706344604
8,0,2e-05,0.9,0.9,1.0,3,0.350253807106599,0.5,0.41194029850746267,46.882330656051636
9,0,2e-05,0.9,0.9,1.0,5,0.9346440872560275,0.9649656104151314,0.9474946695095949,46.758495807647705
10,0,2e-05,0.9,0.9,1.5,3,0.8746218624805822,0.9220707442888725,0.8899370393450372,46.81875967979431
11,0,2e-05,0.9,0.9,1.5,5,0.9189025250387926,0.9559076394006387,0.9335956678171279,46.727736473083496
12,0,2e-05,0.9,0.999,1.0,3,0.929708926833584,0.9474023581429625,0.9378058405682715,46.56950569152832
13,0,2e-05,0.9,0.999,1.0,5,0.964332781401007,0.9219172193564235,0.9399250467454718,46.74425029754639
14,0,2e-05,0.9,0.999,1.5,3,0.9390843402037432,0.9552628346843528,0.9465706364513018,46.39848017692566
15,0,2e-05,0.9,0.999,1.5,5,0.919466613649919,0.953481945467944,0.9333259757936947,46.589412212371826
16,0,1e-05,0.8,0.9,1.0,3,0.8771857923497268,0.923882338491771,0.8925660160734787,46.75695848464966
17,0,1e-05,0.8,0.9,1.0,5,0.9082762929932688,0.9413841807909604,0.9217304933230328,46.77619814872742
18,0,1e-05,0.8,0.9,1.5,3,0.9576578236305576,0.9576578236305576,0.9576578236305576,46.31963348388672
19,0,1e-05,0.8,0.9,1.5,5,0.9332504145936982,0.9492139523458609,0.9406340405014464,46.84451365470886
20,0,1e-05,0.8,0.999,1.0,3,0.9516440704378993,0.9449459592237779,0.9482039979894057,46.645694971084595
21,0,1e-05,0.8,0.999,1.0,5,0.9320077537593985,0.9516396462785557,0.94089940899409,46.613083600997925
22,0,1e-05,0.8,0.999,1.5,3,0.9588443586029294,0.9376688774256939,0.94740355092778,46.950199604034424
23,0,1e-05,0.8,0.999,1.5,5,0.9750899309203196,0.9582412183738639,0.9661435345400005,46.45430374145508
24,0,1e-05,0.9,0.9,1.0,3,0.9442144421444214,0.9546487349545567,0.9491909851547862,46.53536343574524
25,0,1e-05,0.9,0.9,1.0,5,0.9597494418258496,0.955232129697863,0.9574500910240982,46.63694167137146
26,0,1e-05,0.9,0.9,1.5,3,0.9495664784473449,0.9473716531564726,0.9484590819899197,46.68202352523804
27,0,1e-05,0.9,0.9,1.5,5,0.9332504145936982,0.9492139523458609,0.9406340405014464,46.474815368652344
28,0,1e-05,0.9,0.999,1.0,3,0.9368475836431227,0.9510255465487596,0.9434741571336883,46.065940856933594
29,0,1e-05,0.9,0.999,1.0,5,0.90425,0.9468496683861459,0.9199489159144341,46.552207231521606
30,0,1e-05,0.9,0.999,1.5,3,0.9551760070337686,0.9291943011545075,0.9409038879021117,46.50345754623413
31,0,1e-05,0.9,0.999,1.5,5,0.9443618423275775,0.9037705723409482,0.920954008875621,46.16392159461975
32,1,2e-05,0.8,0.9,1.0,3,0.9556450368724737,0.9534205354949643,0.9545227194028703,46.2034387588501
33,1,2e-05,0.8,0.9,1.0,5,0.9624200426439233,0.9794583640383199,0.9703170202507232,46.44393992424011
34,1,2e-05,0.8,0.9,1.5,3,0.9662866500803073,0.9546180299680669,0.9601918129745779,46.3462233543396
35,1,2e-05,0.8,0.9,1.5,5,0.9662866500803073,0.9546180299680669,0.9601918129745779,46.130998373031616
36,1,2e-05,0.8,0.999,1.0,3,0.9158886389201351,0.95409604519774,0.930846862659061,46.25027251243591
37,1,2e-05,0.8,0.999,1.0,5,0.9581750253292807,0.9443318594939818,0.9508804737416239,46.331143856048584
38,1,2e-05,0.8,0.999,1.5,3,0.9681704260651629,0.9588553181036601,0.9633465641280079,46.73132538795471
39,1,2e-05,0.8,0.999,1.5,5,0.9332278756566917,0.9583026283468434,0.9442221576472867,46.41227912902832
40,1,2e-05,0.9,0.9,1.0,3,0.7650735957518109,0.8157393760746745,0.758309908525282,47.55968403816223
41,1,2e-05,0.9,0.9,1.0,5,0.9543854033290653,0.9358572832227954,0.9444548872180452,46.22929239273071
42,1,2e-05,0.9,0.9,1.5,3,0.9308857808857809,0.9540653402112502,0.9411589008363201,46.74850130081177
43,1,2e-05,0.9,0.9,1.5,5,0.9514342871432144,0.8880189142716777,0.9126220769300271,46.571690797805786
44,1,2e-05,0.9,0.999,1.0,3,0.9485650557620817,0.9631233112257431,0.9553743345792276,46.399044036865234
45,1,2e-05,0.9,0.999,1.0,5,0.9588443586029294,0.9376688774256939,0.94740355092778,46.3391547203064
46,1,2e-05,0.9,0.999,1.5,3,0.9215825633736081,0.9371161876688774,0.9287608486017358,46.11362957954407
47,1,2e-05,0.9,0.999,1.5,5,0.9719672537831804,0.9673298943748465,0.969607207874356,46.27579188346863
48,1,1e-05,0.8,0.9,1.0,3,0.9217920065016109,0.94620486366986,0.9324794539940839,47.15875959396362
49,1,1e-05,0.8,0.9,1.0,5,0.9219599184782609,0.9577192336035372,0.9363545582706767,46.22350597381592
50,1,1e-05,0.8,0.9,1.5,3,0.9442144421444214,0.9546487349545567,0.9491909851547862,46.50455665588379
51,1,1e-05,0.8,0.9,1.5,5,0.9442144421444214,0.9546487349545567,0.9491909851547862,46.46704339981079
52,1,1e-05,0.8,0.999,1.0,3,0.9597494418258496,0.955232129697863,0.9574500910240982,46.46299195289612
53,1,1e-05,0.8,0.999,1.0,5,0.929708926833584,0.9474023581429625,0.9378058405682715,46.431461572647095
54,1,1e-05,0.8,0.999,1.5,3,0.9169801641586868,0.9492446573323507,0.9302839953994515,46.657447814941406
55,1,1e-05,0.8,0.999,1.5,5,0.9257603406326034,0.9298391058707934,0.9277616501145913,46.48134422302246
56,1,1e-05,0.9,0.9,1.0,3,0.9536592818945759,0.9558462294276591,0.9547428151347378,46.44384741783142
57,1,1e-05,0.9,0.9,1.0,5,0.9309888475836432,0.9449766642102677,0.9375240684109186,46.129926681518555
58,1,1e-05,0.9,0.9,1.5,3,0.9485650557620817,0.9631233112257431,0.9553743345792276,46.34494209289551
59,1,1e-05,0.9,0.9,1.5,5,0.9233352468427096,0.9528678457381479,0.9358268182895049,46.319523334503174
60,1,1e-05,0.9,0.999,1.0,3,0.7980813953488373,0.6574244657332351,0.6746927803379417,46.59149193763733
61,1,1e-05,0.9,0.999,1.0,5,0.9437347931873479,0.9479857528862687,0.9458212375859434,46.15653681755066
62,1,1e-05,0.9,0.999,1.5,3,0.9724907882719742,0.9606669123065585,0.9663161494400274,46.44847774505615
63,1,1e-05,0.9,0.999,1.5,5,0.9442144421444214,0.9546487349545567,0.9491909851547862,46.21148633956909
